,Image,Number identified - YOLO_px_infer,Number identifiable - YOLO_px_infer,Percentage - YOLO_px_infer,RMSE_cx - YOLO_px_infer,RMSE_cy - YOLO_px_infer,RMSE_c - YOLO_px_infer,RMSE_sigmax - YOLO_px_infer,RMSE_sigmay - YOLO_px_infer,RMSE_sigma - YOLO_px_infer,MaxE_sigmax - YOLO_px_infer,MaxE_sigmay - YOLO_px_infer,MaxE_sigma - YOLO_px_infer,RMSE_amplitude - YOLO_px_infer,RMSEPixel - YOLO_px_infer
2,6,76,79,96.2,0.5371796295123189,0.3292154706698532,0.6300355390701109,6.521489020014415,24.890006958856524,25.73018199411141,17.273121945211358,617.0829397871822,617.324643375044,24.861693359697433,988671.9887132774
10,37,77,78,98.72,0.551572986806683,0.3212720780720112,0.6383169337590486,6.9793373458233585,12.32237301430383,14.161639258590366,25.181083487105816,55.435669350040264,60.88678347450772,23.62752010015504,758435.7739494722
12,39,78,80,97.5,0.4852387646561056,0.35989690000540175,0.6041377635593405,6.187524224634254,9.629979465553951,11.446482452588938,26.35894100919748,51.67350542635775,58.008145412296855,22.89696352172005,772216.4580576066
3,60,76,79,96.2,0.5716266433985335,0.3891036761608455,0.6914901953353774,6.254344917984585,14.397667193502151,15.69744090506372,35.30621645807246,72.54323990640967,80.67868725198232,29.771147157520485,901961.8932109844
16,62,75,78,96.15,0.563230259417582,0.39715154589972856,0.6891717315257069,7.5726627426704125,17.443167020931437,19.016027364682106,43.34943999998438,69.90088189985221,82.25148775973193,28.615402009098702,910886.0568706967
7,65,77,80,96.25,0.5256671184588012,0.32681776617190056,0.6189796214047523,6.7575072568540895,13.869075649367643,15.427740070869685,24.107207650198255,92.84776626263194,95.92635279551762,29.365784294741697,933615.024248683
1,74,77,80,96.25,0.5196148564742837,0.38308219867460186,0.6455629868650755,7.356237529884313,11.04959107044117,13.274324593743055,26.999766268995234,46.61638265547991,53.8709059740274,28.209074765646587,903469.1526999912
6,88,77,79,97.47,0.5363093947872233,0.3672975926350898,0.6500271444275002,6.567094510848574,16.512965646197944,17.770896565647185,35.792475733081226,155.770581433749,159.82983250729956,23.40428772919948,814226.7472588472
17,93,77,78,98.72,0.5702062013517126,0.36823662116315015,0.6787733946064792,6.961255192126137,10.968280142843984,12.9908522869675,28.843701033671078,41.67423471218798,50.68235322246129,27.697111385492086,972327.0715284818
15,98,74,79,93.67,0.5486935938621815,0.43119373630154717,0.6978486212432355,6.81871611823146,14.50435726406208,16.027204033909968,21.394421516415175,110.16589890044611,112.22409078520245,26.749397509663464,762355.9335637724
14,110,76,79,96.2,3.180606460447149,0.6000106730237225,3.2367067003329977,7.100697532455831,14.861193495522338,16.470427364181532,26.636244750617372,77.28632786096915,81.74757494047152,29.994758335506646,1017291.6185039061
11,116,78,80,97.5,0.5541922333537466,0.3343454095226649,0.6472371160390078,6.2954204471212885,12.846528975536147,14.306139427718529,35.89023362332768,93.96587365107867,100.5867500247797,26.647365785796122,896660.6257171271
5,128,76,80,95.0,0.531914000032631,0.46141354252835726,0.7041554946595829,6.5683740007267275,15.139467835491804,16.502939839777447,23.35964866489289,57.66722746487437,62.218826003331124,30.613487868040394,920601.930363938
19,149,76,78,97.44,0.6120199393333488,0.30026374543442463,0.6817086789559781,7.527079411061201,12.921832631553126,14.954286442966533,41.43798870812749,59.2913093307375,72.33647952677889,16.12196339634866,592642.7408878732
0,156,77,80,96.25,0.5272007292098061,0.4074582568425019,0.6663053653907355,6.394847613702531,14.276091737328686,15.642917608141435,28.297073333917055,186.12821938362524,188.26693392676262,28.568885571652224,969273.9639674635
4,166,78,80,97.5,0.5551683169011601,0.3730501813472504,0.668863437402646,6.342535556902347,14.792070718590079,16.094505690897766,21.241540235026537,94.14495972447973,96.51153544048589,15.085892764223981,606863.7721923298
9,176,78,79,98.73,0.5420911421846376,0.4056466912944412,0.6770613300087169,6.157733214057217,14.778618683018424,16.010160789747385,20.46634042300123,128.66655169590769,130.28412265362905,27.567891335664243,1061813.4420784542
8,177,73,78,93.59,0.4891288424957326,0.44338635754759825,0.6601806469600133,6.1129328721983045,12.871497363788217,14.249329552158223,23.582964684724235,80.8681981383908,84.23670039520175,24.894690777222156,688637.9838637791
18,178,77,79,97.47,0.5025533869100587,0.3561308332721212,0.6159456770705243,5.469043852202948,11.838880445218582,13.041070924333544,18.62506554217875,149.35247052475574,150.5093137260897,21.563255501855043,662158.8483202752
13,188,77,79,97.47,0.5937706945797026,0.4449330022013304,0.7419764242814939,6.888155768038111,21.553565144291863,22.627480202488076,20.735446961632736,152.47172676448196,153.87522940110125,30.28635413711205,1165782.8720858786
30,205,79,79,100.0,2.4476636648411,0.35703723887184086,2.473566859036681,25.382140993534403,13.479566298459176,28.739376976723346,82.6654238134562,35.35022799293492,89.90667891436549,12.359802431962562,767106.27430273
35,246,79,79,100.0,2.579456937501318,0.3684109579282514,2.6056332678151946,23.27026889756914,15.982870440912029,28.23043680314127,65.14602519073487,73.51593400028905,98.2272729443647,13.177446035705886,898130.3449604219
39,254,79,79,100.0,2.5664654016436157,0.3946848569262737,2.596636438572146,23.74029859506224,15.075923416855396,28.12268202454387,77.65656484793358,63.60084456179623,100.37733555417317,12.631466360462735,803334.7634692468
33,269,79,79,100.0,2.776531574429691,0.34540080045911803,2.797933040078482,24.32255849421943,16.54830093297353,29.418244602167857,90.9731674124057,57.966795847472675,107.87152826333819,14.180246333106572,980783.2787692149
29,290,80,79,101.27,2.69095539886419,0.3853756709129743,2.7184104484805007,23.13568454125661,14.48641348055377,27.296814369484768,57.49787399211185,54.92816463434337,79.51797773906415,11.700951619822801,721718.1634405744
36,292,80,79,101.27,2.5922556728245847,0.34866113435875173,2.615598222186193,25.01658794232311,14.606390880809405,28.96854029527512,103.95820485956916,36.10008104707296,110.04782691734256,13.387744116581842,899239.1557129596
32,295,79,79,100.0,2.2252207365847108,0.3436018242671149,2.2515926674614777,25.357165806930134,14.164681665282789,29.045207254191613,92.5941740057441,45.373536719186724,103.1137182639313,12.377183639147761,849894.869067243
28,308,79,79,100.0,1.8982319160607048,0.34548478577238406,1.9294154929282819,23.085674295963756,14.355518165327597,27.18509259675921,70.12152152577816,71.12156119175444,99.8764449079093,15.547256640691831,786430.6823018218
31,340,79,79,100.0,2.4322286634047883,0.32295217665583803,2.4535758352850205,21.48221988674161,14.605755932588584,25.97717993979838,54.76841135789707,60.1944536079816,81.38151588555769,14.398178629346372,772886.7196123172
22,345,80,79,101.27,2.149078183995088,0.3705763115841758,2.1807943148382787,23.43569316586464,13.690351070478535,27.14143376090341,54.02483503095458,64.99624180125974,84.5174197926657,12.234076534332269,738453.641817476
26,348,80,79,101.27,2.1224299251627783,0.34578677854977474,2.1504132820102995,24.01900819492692,14.699918455460192,28.160262024085387,94.97647244695234,56.99378243884302,110.76471259003414,12.402774887069077,810484.85354726
37,352,79,79,100.0,2.515658017107823,0.2775272848683215,2.5309201198151725,24.856712152954955,14.973169193888719,29.018131138370656,69.83931031797972,45.49248898506413,83.34924006700511,13.166873960901935,852677.8735953864
38,354,81,79,102.53,2.7755787637938076,0.3302243873568073,2.795153952831282,23.51890064998346,14.734714192545123,27.753387002666596,88.36448784665454,74.44011829461088,115.5405293570928,12.470438919769693,799151.6584646204
20,364,79,79,100.0,2.2852032496592045,0.29406153442714245,2.304045589454044,22.111500396286278,12.917274195037157,25.608092908390134,95.04429620709315,34.076969664797964,100.96859958936354,9.524993320960796,777679.0424224767
23,367,79,79,100.0,2.1896586445819093,0.3004338451009956,2.2101731776208067,22.775492985080227,14.426411829121971,26.96005265159675,84.69243830904601,86.10833184793057,120.77853253109552,13.111915998582708,826243.6991028656
25,385,79,79,100.0,2.7260577583209473,0.33794345263357034,2.7469249496263504,26.443767554940777,15.381105774382078,30.591686082046348,68.82613457143928,61.974252250881925,92.61665477710699,14.933992423577008,966527.7022213838
21,386,80,79,101.27,2.379406386123332,0.3692522988543834,2.407887458029079,21.35002109680819,14.594176053653648,25.861426401480497,57.07474194818394,70.96333623760088,91.06767405848568,11.887853870255674,634774.7504664666
34,395,79,79,100.0,2.0320694462989186,0.36374317367751247,2.0643680221749667,23.322269848449935,13.47524743941421,26.93530331066194,83.89886550161677,44.074387660666595,94.77115215149124,12.421640960127894,742090.6223741507
24,398,80,79,101.27,2.3544388113328125,0.29983663034217756,2.373454048682051,24.761080361608165,15.33535437736068,29.125318788869127,115.08042102962624,56.923998405534974,128.38942674079274,13.81030279360309,979255.2152192004
27,399,79,79,100.0,2.8415595791975,0.3496380743558841,2.862989281357575,22.986747410989082,16.12860322536832,28.080640992291727,53.935482719142925,250.40431134817038,256.1471363062613,15.301129515089817,914104.9300173299
